ppm,S200538,S200624,S200627,S200725,S200547,S202042,S200796,S200793,S201032,S200610,S200607,S200820,S200071
PPM0.7315,484.0423,609.2059,436.6595,920.1371,535.0944,435.1767,786.5176,575.0033,406.8255,361.7992,401.7993,497.3677,393.3068
PPM0.7305,473.5509,597.6096,418.4895,916.2984,499.5949,423.1075,765.5346,583.6554,393.6414,369.298,414.1291,471.9987,378.0385
PPM0.7295,465.5449,597.0273,407.6478,888.1292,478.9608,408.235,741.6484,571.2615,374.0607,375.1591,405.7412,453.4921,363.3295
PPM0.7285,461.5029,568.3285,404.5957,885.6345,454.9915,406.7682,699.7343,545.2792,346.4891,365.4865,378.3919,429.4062,338.948
PPM0.7275,427.4144,542.1851,383.0775,899.1909,473.5287,411.6754,678.7149,536.5901,349.2682,355.5623,369.6976,410.8205,341.6927
PPM0.7265,411.5078,532.2535,383.3317,880.6194,501.5652,391.1355,683.8137,535.5204,333.0956,349.5475,357.7463,401.9612,307.1392
PPM0.7255,420.1053,533.1882,377.7112,861.6156,500.4429,362.8095,694.3789,532.2345,334.3181,352.5485,359.0322,417.6603,277.1104
PPM0.7245,412.8706,530.6457,339.3528,850.2723,477.4058,361.3046,681.8141,510.9258,336.8474,343.7194,350.3683,430.1019,281.2221
PPM0.7235,399.1848,521.7179,305.5559,819.883,430.9852,384.098,677.1267,484.2149,326.2999,327.2626,340.5563,471.7096,273.7624
PPM0.7225,417.0501,519.7899,276.0079,802.6591,416.8278,382.2051,674.5785,488.6657,327.9201,318.5621,329.1905,467.7912,269.9838
PPM0.7215,438.2164,496.9024,289.1475,823.1696,415.8041,392.8539,677.7125,492.4287,332.4819,317.7468,310.1383,420.4852,276.3292
PPM0.7205,430.1975,496.773,326.4277,840.2483,401.2044,378.06,658.6806,503.4066,330.5522,333.5253,313.1062,398.1487,297.0584
PPM0.7195,415.9179,501.3292,355.5159,840.8409,382.1674,368.5013,641.6315,502.8845,324.1084,335.6984,338.1108,393.9417,318.0105
PPM0.7185,417.8812,499.9306,360.3649,831.4731,399.7942,363.3201,613.8302,477.5415,322.4174,322.1626,334.66,418.0952,316.3468
PPM0.7175,385.6391,502.8736,350.7206,847.188,396.2983,352.5207,584.5461,464.9652,295.1102,300.1641,319.8766,425.9153,291.2702
PPM0.7165,363.338,515.8991,341.059,828.6048,388.7605,356.4765,581.956,467.5417,291.6711,292.0587,320.3582,395.1989,272.8271
PPM0.7155,348.0131,506.5469,349.8828,820.7509,390.2537,328.6802,562.4643,460.1879,307.8723,273.6317,311.2128,351.5012,241.1229
PPM0.7145,325.0948,469.046,363.7311,817.9051,383.2939,311.8795,551.5685,457.5353,312.3354,257.9181,293.9744,316.1366,227.5429
PPM0.7135,334.6819,460.4537,347.36,798.8735,366.2332,331.5389,554.5409,448.4304,324.2357,250.9038,286.7826,306.8227,226.4484
PPM0.7125,346.4246,458.0234,312.2357,796.2178,348.0113,352.9123,546.6132,436.1415,332.2598,241.0062,261.6591,329.3943,217.6089
PPM0.7115,357.7302,453.0437,294.8285,810.4236,328.1636,337.6755,521.253,444.3335,303.9811,251.2211,249.106,354.0239,195.8135
PPM0.7105,350.3077,446.6122,307.6928,827.1285,335.366,303.9899,517.4711,451.9947,282.6717,251.7731,250.0794,351.1392,183.8433
PPM0.7095,338.5816,431.8612,310.4199,823.2418,357.8926,314.8861,527.1839,442.0722,269.3171,252.0684,248.753,342.1546,195.973
PPM0.7085,328.8588,428.8031,280.0968,820.1569,345.4873,340.1904,535.4103,419.1282,251.3069,276.6246,269.1203,327.1734,210.4555
PPM0.7075,330.6453,420.2521,274.1016,845.9682,334.668,317.7723,547.2326,402.1447,238.8291,293.172,272.5711,318.5563,219.6594
